# Submitter: antp(Anteater, Peter)
# Submitter: a(B, C)
# Submitter: antp2(Anteater, Peter)
Above should match; below should not (and of course, not this line)
# Submitter:
Submitter: antp(Anteater, Peter)
#Submitter: antp(Anteater, Peter)
# submitter: antp(Anteater, Peter)
# Submit: antp(Anteater, Peter)
# Submitter antp(Anteater, Peter)
# Submitter:antp(Anteater, Peter)
# Submitter: Ant(Anteater, Peter)
# Submitter: aNt(Anteater, Peter)
# Submitter: 2(Anteater, Peter)
# Submitter: 2antp(Anteater, Peter)
# Submitter: antp(Anteater, Peter
# Submitter: antp(Anteater,Peter)
# Submitter: antp(AntEater, Peter)
# Submitter: antp(Anteater2, Peter)
# Submitter: antp(Anteater, Peter2)
